Address,City,State,Zip,CASS_Results,RecordNum,UNITID,INSTNM,Zip Code,GEO_GeoLevel,GEO_MatchStatus,GEO_Score,GEO_Latitude,GEO_Longitude,GEO_FirstLine,GEO_LastLine,CASS_Address,CASS_AddressPlusSuite,CASS_CarrierRoute,CASS_City,CASS_DeliveryPointCheckDigit,CASS_DeliveryPointCode,CASS_ErrorCode,CASS_LastLine,CASS_Plus4,CASS_State,CASS_StatusCode,CASS_ZIP,Z9_Census_BLOCK,Z9_Census_ID,Z9_Census_TRACT,Z9_County_FIPS,Z9_Latitude,Z9_Longitude,Z9_Match_Code,Z9_Record_Type,Z9_State_FIPS,GEO_City,GEO_Province,GEO_PostalCode,GEO_HouseNumber,GEO_StreetPreDir,GEO_StreetPreType,GEO_StreetName,GEO_StreetPostType,GEO_StreetPostDir,GEO_UnitDesignator,GEO_UnitNumber,GEO_StateAbbrev,GEO_CensusId,GEO_ClusterLevelID,GEO_IntersectingHouseNumber,GEO_IntersectingStreetPreDir,GEO_IntersectingStreetPreType,GEO_IntersectingStreetName,GEO_IntersectingStreetPostType,GEO_IntersectingStreetPostDir,GEO_MFPreDirChanged,GEO_MFStreetNameChanged,GEO_MFStreetPreChanged,GEO_MFStreetPostChanged,GEO_MFPostDirChanged,GEO_MFUnitDesAssumed,GEO_MFAddNumberOutOfRange,GEO_MFAddLetterMovedToUnitNum,GEO_MFEvenOddAddDiffer,GEO_MFSuppliedCity,GEO_MFSuppliedState,GEO_MFSuppliedPostCode,GEO_MFCityChanged,GEO_MFStateChanged,GEO_MFPostCodeChanged,GEO_MFUsedCityAlias,CASS_AddressRange,CASS_AddressTypeCode,CASS_AddressTypeString,CASS_CityAbbreviation,CASS_CMRA,CASS_CongressionalDistrict,CASS_CountyFIPS,CASS_CountyName,CASS_ErrorString,CASS_EWSFlag,CASS_LACS,CASS_MSA,CASS_PMSA,CASS_PostDirection,CASS_PreDirection,CASS_PrivateMailbox,CASS_PrivateMailboxName,CASS_PrivateMailboxNumber,CASS_StreetName,CASS_Suffix,CASS_Suite,CASS_SuiteName,CASS_SuiteRange,CASS_SuiteStatus,CASS_TimeZone,CASS_TimeZoneCode,CASS_Urbanization,CASS_ZIPType
1646 S Russell Ave,Jefferson City,TN,37760,"AC12,AS01",3001,219806,Carson-Newman University,37760,Actual,Match,100.0,36.122207,-83.490872,1646 RUSSELL AVE,"JEFFERSON CITY, TN 37760",1646 Russell Ave,1646 Russell Ave,C001,Jefferson City,9,46," ","Jefferson City, TN 37760-2204",2204,TN,V,37760,,,,,,,,,,,TN,37760,1646,"","",RUSSELL,AVE,"","","",TN,470890703003019,470890703003019,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1646,S,Street,Jefferson Cty,N,02,47089,Jefferson,No Error," "," ","","","","","","","",Russell,Ave,"","","",V,Eastern Time,05,""," "
4501 Amnicola Hwy,Chattanooga,TN,37406-1097,AS01,3002,219824,Chattanooga State Community College,37406-1097,Street,Exact,100.0,35.0965518201697,-85.2376586279497,4501 AMNICOLA HWY,"CHATTANOOGA, TN 37406",4501 Amnicola Hwy,4501 Amnicola Hwy,C007,Chattanooga,9,01," ","Chattanooga, TN 37406-1018",1018,TN,V,37406,,,,,,,,,,CHATTANOOGA,TN,37406,4501,"","",AMNICOLA,HWY,"","","",TN,470650114111013,470650114111013,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4501,S,Street,Chattanooga,N,03,47065,Hamilton,No Error," "," ","","","","","","","",Amnicola,Hwy,"","","",V,Eastern Time,05,""," "
650 East Parkway South,Memphis,TN,38104,"AC10,AC11,AC12,AS01",3003,219833,Christian Brothers University,38104,Actual,Match,97.6,35.128391,-89.982049,650 E PARKWAY S,"MEMPHIS, TN 38104",650 E Parkway S,650 E Parkway S,C028,Memphis,9,50," ","Memphis, TN 38104-5519",5519,TN,V,38104,,,,,,,,,,,TN,38104,650,E,"",PARKWAY,"",S,"","",TN,471570031001019,471570031001019,"","","","","","",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,650,S,Street,Memphis,N,09,47157,Shelby,No Error," "," ","","",S,E,"","","",Parkway,"","","","",V,Central Time,06,""," "
900 Walker St NE,Cleveland,TN,37320-3330,"AC01,AS01",3004,219842,Pentecostal Theological Seminary,37320-3330,Street,Exact,100.0,35.1622485810164,-84.8689345963864,900 WALKER ST NE,"CLEVELAND, TN 37311",900 Walker St NE,900 Walker St NE,C025,Cleveland,1,00," ","Cleveland, TN 37311-5234",5234,TN,V,37311,,,,,,,,,,CLEVELAND,TN,37311,900,"","",WALKER,ST,NE,"","",TN,470110104001031,470110104001031,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,900,S,Street,Cleveland,N,04,47011,Bradley,No Error," "," ","","",NE,"","","","",Walker,St,"","","",V,Eastern Time,05,""," "
3535 Adkisson Drive,Cleveland,TN,37312,"AC12,AS01",3005,219879,Cleveland State Community College,37312,Street,Exact,100.0,35.2041834523335,-84.876261956008,3535 ADKISSON DR NW,"CLEVELAND, TN 37312",3535 Adkisson Dr NW,3535 Adkisson Dr NW,C023,Cleveland,2,35," ","Cleveland, TN 37312-2813",2813,TN,V,37312,,,,,,,,,,CLEVELAND,TN,37312,3535,"","",ADKISSON,DR,NW,"","",TN,470110112024018,470110112024018,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3535,S,Street,Cleveland,N,04,47011,Bradley,No Error," ",L,"","",NW,"","","","",Adkisson,Dr,"","","",V,Eastern Time,05,""," "
1665 Hampshire Pike,Columbia,TN,38401,AS01,3006,219888,Columbia State Community College,38401,Actual,Match,100.0,35.617077,-87.099898,1665 HAMPSHIRE PIKE,"COLUMBIA, TN 38401",1665 Hampshire Pike,1665 Hampshire Pike,R019,Columbia,4,65," ","Columbia, TN 38401-5653",5653,TN,V,38401,,,,,,,,,,,TN,38401,1665,"","",HAMPSHIRE,PIKE,"","","",TN,471190108022064,471190108022064,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1665,S,Street,Columbia,N,07,47119,Maury,No Error," ",L,"","","","","","","",Hampshire,Pike,"","","",V,Central Time,06,""," "
"5100 Poplar Avenue, Suite 132",Memphis,TN,38137-0132,AS01,3007,219903,Concorde Career College-Memphis,38137-0132,Street,Exact,92.5,35.1113598754528,-89.8922685885481,5100 POPLAR AVE STE 132,"MEMPHIS, TN 38117",5100 Poplar Ave,5100 Poplar Ave Ste 132,C054,Memphis,7,32," ","Memphis, TN 38137-0132",0132,TN,V,38137,,,,,,,,,,MEMPHIS,TN,38117,5100,"","",POPLAR,AVE,"",STE,132,TN,471570096003017,471570096003017,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,5100,H,Highrise,Memphis,N,08,47157,Shelby,No Error," "," ","","","","","","","",Poplar,Ave,Ste 132,Ste,132,V,Central Time,06,""," "
1 Cumberland Square,Lebanon,TN,37087,AS01,3008,219949,Cumberland University,37087,Actual,Match,87.4,36.204601,-86.291871,1 S CUMBERLAND ST,"LEBANON, TN 37087",1 Cumberland Sq,1 Cumberland Sq,C007,Lebanon,9,01," ","Lebanon, TN 37087-3408",3408,TN,V,37087,,,,,,,,,,,TN,37087,1,S,"",CUMBERLAND,ST,"","","",TN,471890307001033,471890307001033,"","","","","","",True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,S,Street,Lebanon,N,06,47189,Wilson,No Error," "," ","","","","","","","",Cumberland,Sq,"","","",V,Central Time,06,""," "
One University Park Drive,Nashville,TN,37204-3951,AS01,3009,219976,Lipscomb University,37204-3951,Actual,Match,100.0,36.1056072,-86.7984427,1 UNIVERSITY PARK DR,"NASHVILLE, TN 37204",1 University Park Dr,1 University Park Dr,C021,Nashville,0,01," ","Nashville, TN 37204-3956",3956,TN,V,37204,,,,,,,,,,,TN,37204,1,"","",UNIVERSITY PARK,DR,"","","",TN,470370177023004,470370177023004,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,S,Street,Nashville,N,05,47037,Davidson,No Error," "," ","","","","","","","",University Park,Dr,"","","",V,Central Time,06,""," "
340 Plus Park Blvd,Nashville,TN,37217,AS01,3010,220002,Daymar Institute-Nashville,37217,Actual,Match,100.0,36.131998,-86.723029,340 PLUS PARK BLVD,"NASHVILLE, TN 37217",340 Plus Park Blvd,340 Plus Park Blvd,C002,Nashville,4,40," ","Nashville, TN 37217-1001",1001,TN,V,37217,,,,,,,,,,,TN,37217,340,"","",PLUS PARK,BLVD,"","","",TN,470370158023003,470370158023003,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,340,S,Street,Nashville,N,05,47037,Davidson,No Error," "," ","","","","","","","",Plus Park,Blvd,"","","",V,Central Time,06,""," "
