Address,City,State,Zip,CASS_Results,RecordNum,UNITID,INSTNM,Zip Code,GEO_GeoLevel,GEO_MatchStatus,GEO_Score,GEO_Latitude,GEO_Longitude,GEO_FirstLine,GEO_LastLine,CASS_Address,CASS_AddressPlusSuite,CASS_CarrierRoute,CASS_City,CASS_DeliveryPointCheckDigit,CASS_DeliveryPointCode,CASS_ErrorCode,CASS_LastLine,CASS_Plus4,CASS_State,CASS_StatusCode,CASS_ZIP,Z9_Census_BLOCK,Z9_Census_ID,Z9_Census_TRACT,Z9_County_FIPS,Z9_Latitude,Z9_Longitude,Z9_Match_Code,Z9_Record_Type,Z9_State_FIPS,GEO_City,GEO_Province,GEO_PostalCode,GEO_HouseNumber,GEO_StreetPreDir,GEO_StreetPreType,GEO_StreetName,GEO_StreetPostType,GEO_StreetPostDir,GEO_UnitDesignator,GEO_UnitNumber,GEO_StateAbbrev,GEO_CensusId,GEO_ClusterLevelID,GEO_IntersectingHouseNumber,GEO_IntersectingStreetPreDir,GEO_IntersectingStreetPreType,GEO_IntersectingStreetName,GEO_IntersectingStreetPostType,GEO_IntersectingStreetPostDir,GEO_MFPreDirChanged,GEO_MFStreetNameChanged,GEO_MFStreetPreChanged,GEO_MFStreetPostChanged,GEO_MFPostDirChanged,GEO_MFUnitDesAssumed,GEO_MFAddNumberOutOfRange,GEO_MFAddLetterMovedToUnitNum,GEO_MFEvenOddAddDiffer,GEO_MFSuppliedCity,GEO_MFSuppliedState,GEO_MFSuppliedPostCode,GEO_MFCityChanged,GEO_MFStateChanged,GEO_MFPostCodeChanged,GEO_MFUsedCityAlias,CASS_AddressRange,CASS_AddressTypeCode,CASS_AddressTypeString,CASS_CityAbbreviation,CASS_CMRA,CASS_CongressionalDistrict,CASS_CountyFIPS,CASS_CountyName,CASS_ErrorString,CASS_EWSFlag,CASS_LACS,CASS_MSA,CASS_PMSA,CASS_PostDirection,CASS_PreDirection,CASS_PrivateMailbox,CASS_PrivateMailboxName,CASS_PrivateMailboxNumber,CASS_StreetName,CASS_Suffix,CASS_Suite,CASS_SuiteName,CASS_SuiteRange,CASS_SuiteStatus,CASS_TimeZone,CASS_TimeZoneCode,CASS_Urbanization,CASS_ZIPType
1013 8th Ave,Seattle,WA,98104,AS01,4001,420705,Bakke Graduate University,98104,Street,Exact,100.0,47.6080196172706,-122.32878419642,1013 8TH AVE,"SEATTLE, WA 98104",1013 8th Ave,1013 8th Ave,C033,Seattle,7,13," ","Seattle, WA 98104-1222",1222,WA,V,98104,,,,,,,,,,SEATTLE,WA,98104,1013,"","",8TH,AVE,"","","",WA,530330082002006,530330082002006,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1013,S,Street,Seattle,N,07,53033,King,No Error," "," ","","","","","","","",8th,Ave,"","","",V,Pacific Time,08,""," "
4301 Third St.,Tillamook,OR,97141,AS01,4002,420723,Tillamook Bay Community College,97141,Street,Exact,100.0,45.4567628918113,-123.814046311987,4301 3RD ST,"TILLAMOOK, OR 97141",4301 3rd St,4301 3rd St,C002,Tillamook,0,01," ","Tillamook, OR 97141-2807",2807,OR,V,97141,,,,,,,,,,TILLAMOOK,OR,97141,4301,"","",3RD,ST,"","","",OR,410579604005026,410579604005026,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4301,S,Street,Tillamook,N,05,41057,Tillamook,No Error," "," ","","","","","","","",3rd,St,"","","",V,Pacific Time,08,""," "
"999 North Plaza Dr., Suite 111",Schaumburg,IL,60173-5403,AS01,4003,420866,Argosy University-Schaumburg,60173-5403,Street,Exact,100.0,42.0474105541363,-88.0430216487066,999 N PLAZA DR STE 111,"SCHAUMBURG, IL 60173",999 N Plaza Dr,999 N Plaza Dr Ste 111,C042,Schaumburg,2,36," ","Schaumburg, IL 60173-5403",5403,IL,V,60173,,,,,,,,,,SCHAUMBURG,IL,60173,999,N,"",PLAZA,DR,"",STE,111,IL,170318046033039,170318046033039,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,999,H,Highrise,Schaumburg,N,08,17031,Cook,No Error," "," ","","","",N,"","","",Plaza,Dr,Ste 111,Ste,111,V,Central Time,06,""," "
901 Corporate Center Drive,Pomona,CA,91768-2642,AS01,4004,420972,"DeVry University's Keller Graduate School of Management-California",91768-2642,Actual,Match,100.0,34.063024,-117.803684,901 CORPORATE CENTER DR,"POMONA, CA 91768",901 Corporate Center Dr,901 Corporate Center Dr,C016,Pomona,4,01," ","Pomona, CA 91768-2642",2642,CA,V,91768,,,,,,,,,,,CA,91768,901,"","",CORPORATE CENTER,DR,"","","",CA,060374024041007,060374024041007,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,901,S,Street,Pomona,N,35,06037,Los Angeles,No Error," "," ","","","","","","","",Corporate Center,Dr,"","","",V,Pacific Time,08,""," "
1 Galleria Blvd.,Metairie,LA,70001-2082,"AE09,AS02",4005,421009,University of Phoenix-Louisiana Campus,70001-2082,Street,Exact,100.0,29.99237,-90.1526116650948,1 GALLERIA BLVD,"METAIRIE, LA 70001",1 Galleria Blvd,1 Galleria Blvd,C017,Metairie,2,99," ","Metairie, LA 70001-2082",2082,LA,V,70001,,,,,,,,,,METAIRIE,LA,70001,1,"","",GALLERIA,BLVD,"","","",LA,220510221022018,220510221022018,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,H,Highrise,Metairie,N,01,22051,Jefferson,No Error," "," ","","","","","","","",Galleria,Blvd,"","","",M,Central Time,06,""," "
5480 Corporate Dr,Troy,MI,48098-2623,"AE09,AS02",4006,421018,University of Phoenix-Metro Detroit Campus,48098-2623,Actual,Match,100.0,42.59755,-83.170323,5480 CORPORATE DR,"TROY, MI 48098",5480 Corporate Dr,5480 Corporate Dr,C097,Troy,0,99," ","Troy, MI 48098-2641",2641,MI,V,48098,,,,,,,,,,,MI,48098,5480,"","",CORPORATE,DR,"","","",MI,261251965001009,261251965001009,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5480,H,Highrise,Troy,N,11,26125,Oakland,No Error," "," ","","","","","","","",Corporate,Dr,"","","",M,Eastern Time,05,""," "
4001 Fort Campbell Boulevard,Hopkinsville,KY,42240-4948,AS01,4007,421513,Brown Mackie College-Hopkinsville,42240-4948,Actual,Match,100.0,36.8335056,-87.4762624,4001 FORT CAMPBELL BLVD,"HOPKINSVILLE, KY 42240",4001 Fort Campbell Blvd,4001 Fort Campbell Blvd,C015,Hopkinsville,2,01," ","Hopkinsville, KY 42240-4948",4948,KY,V,42240,,,,,,,,,,,KY,42240,4001,"","",FORT CAMPBELL,BLVD,"","","",KY,210472005003005,210472005003005,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4001,S,Street,Hopkinsville,N,01,21047,Christian,No Error," "," ","","","","","","","",Fort Campbell,Blvd,"","","",V,Central Time,06,""," "
4425 W Olive Avenue Suite 300,Glendale,AZ,85302,AS01,4008,421708,Arizona College of Allied Health,85302,Street,Exact,100.0,33.5673653173643,-112.153959600637,4425 W OLIVE AVE STE 300,"GLENDALE, AZ 85302",4425 W Olive Ave,4425 W Olive Ave Ste 300,C069,Glendale,3,75," ","Glendale, AZ 85302-3851",3851,AZ,V,85302,,,,,,,,,,GLENDALE,AZ,85302,4425,W,"",OLIVE,AVE,"",STE,300,AZ,040130923091001,040130923091001,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4425,H,Highrise,Glendale,N,08,04013,Maricopa,No Error," "," ","","","",W,"","","",Olive,Ave,Ste 300,Ste,300,V,Mountain Time,07,""," "
3000 Wakefield Crossing Drive,Raleigh,NC,27614-7076,AS01,4009,421832,Living Arts College,27614-7076,Actual,Match,100.0,35.9426681,-78.5555647,3000 WAKEFIELD CROSSING DR,"RALEIGH, NC 27614",3000 Wakefield Crossing Dr,3000 Wakefield Crossing Dr,R076,Raleigh,0,00," ","Raleigh, NC 27614-7076",7076,NC,V,27614,,,,,,,,,,,NC,27614,3000,"","",WAKEFIELD CROSSING,DR,"","","",NC,371830542081114,371830542081114,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3000,S,Street,Raleigh,N,13,37183,Wake,No Error," "," ","","","","","","","",Wakefield Crossing,Dr,"","","",V,Eastern Time,05,""," "
3000 JF Kennedy Blvd 3rd Floor,Jersey City,NJ,7306,"AE08,AS02",4010,421878,Eastern International College-Jersey City,7306,Street,Exact,100.0,40.7353594824103,-74.0629495553183,3000 JOHN F KENNEDY BLVD FL 3,"JERSEY CITY, NJ 07306",3000 John F Kennedy Blvd,3000 John F Kennedy Blvd Fl 3,C048,Jersey City,7,99," ","Jersey City, NJ 07306-3817",3817,NJ,V,07306,,,,,,,,,,JERSEY CITY,NJ,07306,3000,"","",JOHN F KENNEDY,BLVD,"",FL,3,NJ,340170009024001,340170009024001,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3000,H,Highrise,Jersey City,N,10,34017,Hudson,No Error," "," ","","","","","","","",John F Kennedy,Blvd,Fl 3,Fl,3,R,Eastern Time,05,""," "
