Address,City,State,Zip,CASS_Results,RecordNum,UNITID,INSTNM,Zip Code,GEO_GeoLevel,GEO_MatchStatus,GEO_Score,GEO_Latitude,GEO_Longitude,GEO_FirstLine,GEO_LastLine,CASS_Address,CASS_AddressPlusSuite,CASS_CarrierRoute,CASS_City,CASS_DeliveryPointCheckDigit,CASS_DeliveryPointCode,CASS_ErrorCode,CASS_LastLine,CASS_Plus4,CASS_State,CASS_StatusCode,CASS_ZIP,Z9_Census_BLOCK,Z9_Census_ID,Z9_Census_TRACT,Z9_County_FIPS,Z9_Latitude,Z9_Longitude,Z9_Match_Code,Z9_Record_Type,Z9_State_FIPS,GEO_City,GEO_Province,GEO_PostalCode,GEO_HouseNumber,GEO_StreetPreDir,GEO_StreetPreType,GEO_StreetName,GEO_StreetPostType,GEO_StreetPostDir,GEO_UnitDesignator,GEO_UnitNumber,GEO_StateAbbrev,GEO_CensusId,GEO_ClusterLevelID,GEO_IntersectingHouseNumber,GEO_IntersectingStreetPreDir,GEO_IntersectingStreetPreType,GEO_IntersectingStreetName,GEO_IntersectingStreetPostType,GEO_IntersectingStreetPostDir,GEO_MFPreDirChanged,GEO_MFStreetNameChanged,GEO_MFStreetPreChanged,GEO_MFStreetPostChanged,GEO_MFPostDirChanged,GEO_MFUnitDesAssumed,GEO_MFAddNumberOutOfRange,GEO_MFAddLetterMovedToUnitNum,GEO_MFEvenOddAddDiffer,GEO_MFSuppliedCity,GEO_MFSuppliedState,GEO_MFSuppliedPostCode,GEO_MFCityChanged,GEO_MFStateChanged,GEO_MFPostCodeChanged,GEO_MFUsedCityAlias,CASS_AddressRange,CASS_AddressTypeCode,CASS_AddressTypeString,CASS_CityAbbreviation,CASS_CMRA,CASS_CongressionalDistrict,CASS_CountyFIPS,CASS_CountyName,CASS_ErrorString,CASS_EWSFlag,CASS_LACS,CASS_MSA,CASS_PMSA,CASS_PostDirection,CASS_PreDirection,CASS_PrivateMailbox,CASS_PrivateMailboxName,CASS_PrivateMailboxNumber,CASS_StreetName,CASS_Suffix,CASS_Suite,CASS_SuiteName,CASS_SuiteRange,CASS_SuiteStatus,CASS_TimeZone,CASS_TimeZoneCode,CASS_Urbanization,CASS_ZIPType
4010 Gaston Avenue,Dallas,TX,75246-1537,"AE09,AS02",5001,475608,Criswell College,75246-1537,Actual,Match,100.0,32.793692,-96.778073,4010 GASTON AVE,"DALLAS, TX 75246",4010 Gaston Ave,4010 Gaston Ave,C010,Dallas,9,99," ","Dallas, TX 75246-1585",1585,TX,V,75246,,,,,,,,,,,TX,75246,4010,"","",GASTON,AVE,"","","",TX,481130022002000,481130022002000,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4010,H,Highrise,Dallas,N,30,48113,Dallas,No Error," "," ","","","","","","","",Gaston,Ave,"","","",M,Central Time,06,""," "
5003 North Broadway Street,Knoxville,TN,37918-2472,AS01,5002,475617,Virginia College-Knoxville,37918-2472,Actual,Match,100.0,36.02998,-83.930679,5003 N BROADWAY ST,"KNOXVILLE, TN 37918",5003 N Broadway St,5003 N Broadway St,C059,Knoxville,9,03," ","Knoxville, TN 37918-2341",2341,TN,V,37918,,,,,,,,,,,TN,37918,5003,N,"",BROADWAY,ST,"","","",TN,470930041002008,470930041002008,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5003,S,Street,Knoxville,N,02,47093,Knox,No Error," "," ","","","",N,"","","",Broadway,St,"","","",V,Eastern Time,05,""," "
5700 Wilshire Blvd Ste 275,Los Angeles,CA,90036-3687,"AS01,AS16",5003,475635,Academy of Couture Art,90036-3687,Street,Exact,100.0,34.062192976983,-118.352586616033,5700 WILSHIRE BLVD STE 275,"LOS ANGELES, CA 90036",5700 Wilshire Blvd,5700 Wilshire Blvd Ste 275,C056,Los Angeles,3,50," ","Los Angeles, CA 90036-3687",3687,CA,V,90036,,,,,,,,,,LOS ANGELES,CA,90036,5700,"","",WILSHIRE,BLVD,"",STE,275,CA,060372163001001,060372163001001,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5700,H,Highrise,Los Angeles,N,37,06037,Los Angeles,No Error," "," ","","","","","","","",Wilshire,Blvd,Ste 275,Ste,275,V,Pacific Time,08,""," "
190 Montrose West Avenue,Copley,OH,44321-2798,AS01,5004,475699,Bryant & Stratton College-Akron,44321-2798,Actual,Match,100.0,41.12821,-81.654878,190 MONTROSE WEST AVE,"COPLEY, OH 44321",190 Montrose West Ave,190 Montrose West Ave,C007,Copley,4,90," ","Copley, OH 44321-1372",1372,OH,V,44321,,,,,,,,,,,OH,44321,190,"","",MONTROSE WEST,AVE,"","","",OH,391535335012015,391535335012015,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,190,S,Street,Copley,N,16,39153,Summit,No Error," "," ","","","","","","","",Montrose West,Ave,"","","",V,Eastern Time,05,""," "
12215 SW 112 Street,Miami,FL,33186-4830,AS01,5005,475714,American Medical Academy,33186-4830,Street,Exact,100.0,25.6619796271857,-80.3934231990722,12215 SW 112TH ST,"MIAMI, FL 33186",12215 SW 112th St,12215 SW 112th St,C005,Miami,8,15," ","Miami, FL 33186-4830",4830,FL,V,33186,,,,,,,,,,MIAMI,FL,33186,12215,SW,"",112TH,ST,"","","",FL,120860192001000,120860192001000,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12215,S,Street,Miami,N,26,12086,Miami-Dade,No Error," "," ","","","",SW,"","","",112th,St,"","","",V,Eastern Time,05,""," "
"5775 Peachtree Dunwoody Road, NE, Suite A100",Atlanta,GA,30342-1556,"AC04,AS01",5006,475732,Chamberlain College of Nursing-Georgia,30342-1556,Street,Exact,93.7,33.9123228558925,-84.3525288772842,5775 PEACHTREE DUNWOODY RD NE BLDG A100,"ATLANTA, GA 30342",5775 Peachtree Dunwoody Rd,5775 Peachtree Dunwoody Rd Bldg A100,C006,Atlanta,6,10," ","Atlanta, GA 30342-1505",1505,GA,V,30342,,,,,,,,,,ATLANTA,GA,30342,5775,"","",PEACHTREE DUNWOODY,RD,NE,BLDG,A100,GA,131210101151004,131210101151004,"","","","","","",False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,5775,H,Highrise,Atlanta,N,11,13121,Fulton,No Error," "," ","","","","","","","",Peachtree Dunwoody,Rd,Bldg A100,Bldg,A100,V,Eastern Time,05,""," "
"9100 Keystone Crossing, Suite 600",Indianapolis,IN,46240-2158,AS01,5007,475741,Chamberlain College of Nursing-Indiana,46240-2158,Street,Exact,100.0,39.918835,-86.110908801529,9100 KEYSTONE XING STE 600,"INDIANAPOLIS, IN 46240",9100 Keystone Xing,9100 Keystone Xing Ste 600,C040,Indianapolis,9,50," ","Indianapolis, IN 46240-2161",2161,IN,V,46240,,,,,,,,,,INDIANAPOLIS,IN,46240,9100,"","",KEYSTONE,XING,"",STE,600,IN,180973202043001,180973202043001,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9100,H,Highrise,Indianapolis,N,05,18097,Marion,No Error," "," ","","","","","","","",Keystone,Xing,Ste 600,Ste,600,V,Eastern Time,05,""," "
"350 S. Mill Avenue, Suite B-104",Tempe,AZ,85281,"AE08,AS02",5008,475839,Sessions College for Professional Design,85281,Street,Exact,100.0,33.4269292927251,-111.940209199334,350 S MILL AVE STE B-104,"TEMPE, AZ 85281",350 S Mill Ave,350 S Mill Ave Ste B-104,C001,Tempe,9,99," ","Tempe, AZ 85281-2863",2863,AZ,V,85281,,,,,,,,,,TEMPE,AZ,85281,350,S,"",MILL,AVE,"",STE,B-104,AZ,040133187002014,040133187002014,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,350,H,Highrise,Tempe,N,09,04013,Maricopa,No Error," "," ","","","",S,"","","",Mill,Ave,Ste B-104,Ste,B-104,R,Mountain Time,07,""," "
2950 East Texas Street,Bossier City,LA,71111,"AE09,AS02",5009,475866,Virginia College-Shreveport/Bossier City,71111,Actual,Match,100.0,32.525773,-93.7064148,2950 E TEXAS ST,"BOSSIER CITY, LA 71111",2950 E Texas St,2950 E Texas St,C011,Bossier City,5,99," ","Bossier City, LA 71111-3265",3265,LA,V,71111,,,,,,,,,,,LA,71111,2950,E,"",TEXAS,ST,"","","",LA,220150106022000,220150106022000,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2950,H,Highrise,Bossier City,N,04,22015,Bossier,No Error," "," ","","","",E,"","","",Texas,St,"","","",M,Central Time,06,""," "
9000 West Chester Street,Milwaukee,WI,53214-1373,"AE09,AS02",5010,475875,Strayer University-Wisconsin,53214-1373,Actual,Match,100.0,43.028897,-88.024528,9000 W CHESTER ST,"MILWAUKEE, WI 53214",9000 W Chester St,9000 W Chester St,C037,Milwaukee,4,99," ","Milwaukee, WI 53214-1372",1372,WI,V,53214,,,,,,,,,,,WI,53214,9000,W,"",CHESTER,ST,"","","",WI,550790128002000,550790128002000,"","","","","","",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9000,H,Highrise,Milwaukee,N,04,55079,Milwaukee,No Error," "," ","","","",W,"","","",Chester,St,"","","",M,Central Time,06,""," "
