UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
139940,"R",3157,"R",6843,"R",46,"R",2723,"R",0,"R",2723,"R",2260,"R",83,"R",62,"R",0,"R",62,"R",36,"R",58,"R",21
139959,"R",4922,"R",6428,"R",77,"R",5470,"R",0,"R",5470,"R",5143,"R",94,"R",12,"R",0,"R",12,"R",10,"R",83,"R",18
139968,"R",942,"R",1378,"R",68,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",0,"R",0,"R",0,"A",,"R",21
139986,"R",446,"R",2426,"R",18,"R",379,"R",0,"R",379,"R",202,"R",53,"R",377,"R",0,"R",377,"R",181,"R",48,"R",20
139995,"R",107,"R",107,"R",100,"R",116,"R",0,"R",116,"R",81,"R",70,"A",,"A",,"A",,"A",,"A",,"R",25
140003,"R",60,"R",116,"R",52,"R",91,"R",0,"R",91,"R",68,"R",75,"R",7,"R",0,"R",7,"R",5,"R",71,"R",16
140012,"R",391,"R",1759,"R",22,"R",375,"R",0,"R",375,"R",179,"R",48,"R",264,"R",0,"R",264,"R",113,"R",43,"R",24
140085,"R",307,"R",1994,"R",15,"R",260,"R",0,"R",260,"R",123,"R",47,"R",693,"R",0,"R",693,"R",452,"R",65,"R",19
140164,"R",3091,"R",6036,"R",51,"R",2904,"R",0,"R",2904,"R",2210,"R",76,"R",84,"R",0,"R",84,"R",52,"R",62,"R",21
140234,"R",198,"R",279,"R",71,"R",225,"R",0,"R",225,"R",136,"R",60,"R",2,"R",0,"R",2,"R",1,"R",50,"R",10
140243,"R",195,"R",1011,"R",19,"R",165,"R",0,"R",165,"R",83,"R",50,"R",276,"R",0,"R",276,"R",121,"R",44,"R",15
140252,"R",39,"R",99,"R",39,"R",49,"R",0,"R",49,"R",29,"R",59,"R",3,"R",0,"R",3,"R",1,"R",33,"R",16
140304,"R",463,"R",1466,"R",32,"R",431,"R",0,"R",431,"R",197,"R",46,"R",304,"R",0,"R",304,"R",90,"R",30,"R",17
140322,"R",749,"R",1719,"R",44,"R",254,"R",0,"R",254,"R",163,"R",64,"R",22,"R",0,"R",22,"R",12,"R",55,"R",19
140331,"R",1136,"R",4698,"R",24,"R",973,"R",0,"R",973,"R",443,"R",46,"R",1056,"R",0,"R",1056,"R",393,"R",37,"R",26
140340,"R",36,"R",76,"R",47,"R",18,"R",0,"R",18,"R",8,"R",44,"R",0,"R",0,"R",0,"R",0,"A",,"R",16
