unitid,"xgrcohrt",grcohrt,"xugenter",ugentern,"xpgrcohr",pgrcohrt,"xrrftct",rrftct,"xrrftex",rrftex,"xrrftcta",rrftcta,"xret_nmf",ret_nmf,"xret_pcf",ret_pcf,"xrrptct",rrptct,"xrrptex",rrptex,"xrrptcta",rrptcta,"xret_nmp",ret_nmp,"xret_pcp",ret_pcp
218539,"R",323,"R",347,"R",93,"R",290,"R",0,"R",290,"R",240,"R",83,"R",0,"R",0,"R",0,"R",0,"A",
218645,"R",559,"R",861,"R",65,"R",584,"R",0,"R",584,"R",404,"R",69,"R",42,"R",0,"R",42,"R",15,"R",36
218654,"R",282,"R",510,"R",55,"R",265,"R",0,"R",265,"R",152,"R",57,"R",23,"R",0,"R",23,"R",8,"R",35
218663,"R",3826,"R",5431,"R",70,"R",3690,"R",0,"R",3690,"R",3215,"R",87,"R",29,"R",0,"R",29,"R",8,"R",28
218672,"R",329,"R",448,"R",73,"R",330,"R",0,"R",330,"R",196,"R",59,"R",30,"R",0,"R",30,"R",7,"R",23
218681,"R",217,"R",358,"R",61,"R",220,"R",0,"R",220,"R",98,"R",45,"R",34,"R",0,"R",34,"R",5,"R",15
218690,"R",223,"R",357,"R",62,"R",261,"R",0,"R",261,"R",148,"R",57,"R",24,"R",0,"R",24,"R",10,"R",42
218706,"R",76,"R",110,"R",69,"R",78,"R",0,"R",78,"R",41,"R",53,"R",14,"R",0,"R",14,"R",7,"R",50
218724,"R",1643,"R",2376,"R",69,"R",1649,"R",0,"R",1649,"R",1178,"R",71,"R",3,"R",0,"R",3,"R",1,"R",33
218733,"R",923,"R",1175,"R",79,"R",1292,"R",0,"R",1292,"R",830,"R",64,"R",26,"R",0,"R",26,"R",7,"R",27
218742,"R",708,"R",1508,"R",47,"R",805,"R",0,"R",805,"R",525,"R",65,"R",27,"R",0,"R",27,"R",2,"R",7
218821,"R",444,"R",470,"R",94,"R",440,"R",0,"R",440,"R",206,"R",47,"R",0,"R",0,"R",0,"R",0,"A",
218830,"R",733,"R",1554,"R",47,"R",775,"R",0,"R",775,"R",403,"R",52,"R",290,"R",0,"R",290,"R",99,"R",34
218858,"R",308,"R",889,"R",35,"R",338,"R",1,"R",337,"R",169,"R",50,"R",210,"R",0,"R",210,"R",82,"R",39
