unitid,"xbarevct",barevct,"xbaexclu",baexclu,"xbaac150",baac150,"xbanc100",banc100,"xbagr100",bagr100,"xbanc150",banc150,"xbagr150",bagr150,"xbaaexcl",baaexcl,"xbaac200",baac200,"xbanc20a",banc200a,"xbanc200",banc200,"xbagr200",bagr200,"xl4revct",l4revct,"xl4exclu",l4exclu,"xl4ac150",l4ac150,"xl4nc100",l4nc100,"xl4gr100",l4gr100,"xl4nc150",l4nc150,"xl4gr150",l4gr150,"xl4aexcl",l4aexcl,"xl4ac200",l4ac200,"xl4nc20a",l4nc200a,"xl4nc200",l4nc200,"xl4gr200",l4gr200
108065,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",18,"R",1,"R",17,"R",4,"R",24,"R",14,"R",82,"R",0,"R",17,"R",3,"R",17,"R",100
108232,"R",296,"R",0,"R",296,"R",15,"R",5,"R",114,"R",39,"R",0,"R",296,"R",10,"R",124,"R",42,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
108348,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",116,"R",0,"R",116,"R",69,"R",59,"R",69,"R",59,"R",0,"R",116,"R",1,"R",70,"R",60
108649,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",72,"R",0,"R",72,"R",15,"R",21,"R",41,"R",57,"R",0,"R",72,"R",6,"R",47,"R",65
108667,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",200,"R",0,"R",200,"R",0,"R",0,"R",47,"R",24,"R",0,"R",200,"R",0,"R",47,"R",24
108807,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",711,"R",0,"R",711,"R",118,"R",17,"R",237,"R",33,"Z",0,"R",711,"R",54,"R",291,"R",41
108852,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",145,"R",0,"R",145,"R",83,"R",57,"R",140,"R",97,"R",0,"R",145,"R",5,"R",145,"R",100
108977,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",19,"R",0,"R",19,"R",9,"R",47,"R",9,"R",47,"R",0,"R",19,"R",6,"R",15,"R",79
109013,"R",18,"R",0,"R",18,"R",4,"R",22,"R",4,"R",22,"R",1,"R",17,"R",1,"R",5,"R",29,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
109040,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1314,"R",19,"R",1295,"R",492,"R",38,"R",492,"R",38,"R",0,"R",1295,"R",0,"R",492,"R",38
109208,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1486,"R",0,"R",1486,"R",73,"R",5,"R",288,"R",19,"Z",0,"R",1486,"R",107,"R",395,"R",27
109332,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",400,"R",1,"R",399,"R",232,"R",58,"R",255,"R",64,"R",0,"R",399,"R",0,"R",255,"R",64
109350,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",863,"R",0,"R",863,"R",84,"R",10,"R",211,"R",24,"Z",0,"R",863,"R",47,"R",258,"R",30
109651,"R",30,"R",0,"R",30,"R",22,"R",73,"R",24,"R",80,"Z",0,"R",30,"R",0,"R",24,"R",80,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
109721,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",467,"R",0,"R",467,"R",276,"R",59,"R",290,"R",62,"R",0,"R",467,"R",35,"R",325,"R",70
109730,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",138,"R",0,"R",138,"R",67,"R",49,"R",93,"R",67,"R",0,"R",138,"R",1,"R",94,"R",68
109785,"R",750,"R",0,"R",750,"R",349,"R",47,"R",417,"R",56,"R",0,"R",750,"R",9,"R",426,"R",57,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
