UNITID,includeConference,includeCharacter,includeReason
170000,,"20,092,008",C
170037,,"20,122,011,201,020,000,000",C
170082,,"20,122,011,201,020,000,000",C
170301,,"20,122,011,201,020,000,000",C
170532,,"20,122,011,201,020,000,000",C
170639,,"20,122,011,201,020,000,000",C
170675,,"20,122,011,201,020,000,000",C
170806,,"2,011,201,020,092,000",C
170842,,"20,122,011,201,020,000,000",C
170967,,"20,122,011,201,020,000,000",C
170976,Conference,"20,122,011,201,020,000,000",B
171100,Conference,"2,011,201,020,092,000",B
171128,,"20,122,011,201,020,000,000",C
171137,,"20,122,011,201,020,000,000",C
171146,,"20,122,011,201,020,000,000",C
171456,,"20,122,011,201,020,000,000",C
171492,,"20,122,011,201,020,000,000",C
171571,Conference,"20,122,011,201,020,000,000",B
171599,,"20,122,011,201,020,000,000",C
171881,,"201,220,112,010",C
172033,,2012,C
172051,,"20,122,011,201,020,000,000",C
172264,,"20,122,011,201,020,000,000",C
172334,,"20,122,011,201,020,000,000",C
172644,,"20,122,011,201,020,000,000",C
172699,Conference,"20,122,011,201,020,000,000",B
173045,,"20,122,011,201,020,000,000",C
173124,,"20,122,011,201,020,000,000",C
173142,,"20,122,011,201,020,000,000",C
173160,,"20,122,011,201,020,000,000",C
173258,,"20,122,011,201,020,000,000",C
173300,,"20,122,011,201,020,000,000",C
173328,,"201,020,092,008",C
173452,,"20,122,011,201,020,000,000",C
173665,,"20,122,011,201,020,000,000",C
173902,,"20,122,011,201,020,000,000",C
173920,,"20,122,011,201,020,000,000",C
174066,Conference,"20,122,011,201,020,000,000",B
174075,,"20,122,011,201,020,000,000",C
174127,,"20,122,011,201,020,000,000",C
174206,,"2,011,201,020,092,000",C
174233,,"20,122,011,201,020,000,000",C
174251,,"20,122,011,201,020,000,000",C
174358,,"20,122,011,201,020,000,000",C
174437,,"20,122,011,201,020,000,000",C
174491,,"20,122,011,201,020,000,000",C
174525,,"20,122,011,201,020,000,000",C
174561,,2008,C
174747,,"20,122,011,201,020,000,000",C
174783,,"20,122,011,201,020,000,000",C
174792,,"20,122,011,201,020,000,000",C
174817,,"20,122,011,201,020,000,000",C
174844,,"20,122,011,201,020,000,000",C
174862,,"20,122,011,201,020,000,000",C
174899,,"20,122,011,201,020,000,000",C
174914,,"20,122,011,201,020,000,000",C
174932,,2009,C
175005,,"20,122,011,201,020,000,000",C
175078,,"20,122,011,201,020,000,000",C
175272,,"20,122,011,201,020,000,000",C
175342,,"20,122,011,201,020,000,000",C
175421,,"20,122,011,201,020,000,000",C
175430,,"20,112,010",C
175616,,"20,122,011,201,020,000,000",C
175856,,"20,122,011,201,020,000,000",C
175980,,"20,122,011,201,020,000,000",C
176017,Conference,"20,122,011,201,020,000,000",B
176035,,"20,122,011,201,020,000,000",C
176044,,"20,122,011,201,020,000,000",C
176053,,"20,122,011,201,020,000,000",C
176080,Conference,"20,122,011,201,020,000,000",B
176318,,"20,122,011,201,020,000,000",C
176372,Conference,"20,122,011,201,020,000,000",B
176406,,"20,122,011,201,020,000,000",C
176460,,2009,C
176479,,"20,122,011,201,020,000,000",C
176628,,"20,122,011,201,020,000,000",C
176789,,"20,122,011,201,020,000,000",C
176910,,2010,C
176938,,"2,012,201,020,092,000",C
176947,,"20,122,011,201,020,000,000",C
176965,,"20,122,011,201,020,000,000",C
177038,,"201,220,112,010",C
177065,,"20,092,008",C
177083,,"20,122,011,201,020,000,000",C
177117,,"20,122,011",C
177144,,"20,122,011,201,020,000,000",C
177214,,"20,122,011,201,020,000,000",C
177339,,"20,122,011,201,020,000,000",C
177418,,"20,122,011,201,020,000,000",C
177542,,"20,122,011,201,020,000,000",C
177746,,2011,C
177968,,"201,220,092,008",C
178059,,"20,122,011,201,020,000,000",C
178208,,"20,122,011,201,020,000,000",C
178244,,"20,122,011,201,020,000,000",C
178341,,"20,122,011,201,020,000,000",C
178369,,"20,122,011,201,020,000,000",C
178396,Conference,"20,122,011,201,020,000,000",B
178402,,"20,122,011,201,020,000,000",C
178411,,"20,122,011,201,020,000,000",C
178420,,"20,122,011,201,020,000,000",C
178615,,"20,122,011,201,020,000,000",C
178624,,"20,122,011,201,020,000,000",C
178697,,"20,122,011,201,020,000,000",C
178989,,"2,011,201,020,092,000",C
179043,,"20,122,011,201,020,000,000",C
179159,,"20,122,011,201,020,000,000",C
179256,,"20,122,011,201,020,000,000",C
179265,,"20,122,011,201,020,000,000",C
179326,,"20,122,011,201,020,000,000",C
179548,,"20,122,011,201,020,000,000",C
179557,,"20,122,011,201,020,000,000",C
179566,Conference,"20,122,011,201,020,000,000",B
179867,,"20,122,011,201,020,000,000",C
179894,,"20,122,011,201,020,000,000",C
179946,,"20,122,011,201,020,000,000",C
179955,,"20,122,011,201,020,000,000",C
179964,,"20,122,011,201,020,000,000",C
180106,,"20,122,011,201,020,000,000",C
180179,,"2,011,201,020,092,000",C
180416,,"2,012,201,120,102,000",C
180461,,"20,122,011,201,020,000,000",C
180489,,"20,122,011,201,020,000,000",C
180522,,"20,122,011,201,020,000,000",C
180595,,"20,122,011,201,020,000,000",C
180832,,"20,122,011,201,020,000,000",C
180878,,"20,122,011,201,020,000,000",C
180984,,"20,122,011,201,020,000,000",C
181002,Conference,"20,122,011,201,020,000,000",B
181011,,"20,092,008",C
181020,,"20,122,011,201,020,000,000",C
181093,,"20,122,011,201,020,000,000",C
181127,,"20,122,011,201,020,000,000",C
181215,,"20,122,011,201,020,000,000",C
181297,,"20,122,011,201,020,000,000",C
181330,,"20,122,011,201,020,000,000",C
181394,,"20,122,011,201,020,000,000",C
181446,,"20,122,011,201,020,000,000",C
181464,Conference,"20,122,011,201,020,000,000",B
181738,,"20,122,011,201,020,000,000",C
181853,,"20,122,011,201,020,000,000",C
182281,Conference,"2,011,201,020,092,000",B
182290,Conference,"20,122,011,201,020,000,000",B
182661,,"20,122,011,201,020,000,000",C
182670,Conference,"20,122,011,201,020,000,000",B
182795,,"20,122,011,201,020,000,000",C
183026,,"20,092,008",C
183044,,"20,122,011,201,020,000,000",C
183062,,"20,122,011,201,020,000,000",C
183071,,"20,122,011,201,020,000,000",C
183080,,"20,122,011,201,020,000,000",C
183211,,"20,122,011,201,020,000,000",C
183239,,"201,020,092,008",C
183822,,"20,122,011,201,020,000,000",C
183910,,"20,122,011,201,020,000,000",C
183974,,"20,122,011,201,020,000,000",C
184603,,"20,122,011,201,020,000,000",C
184612,,"20,122,011,201,020,000,000",C
184694,,"20,122,011,201,020,000,000",C
184773,,2012,C
184782,,"20,122,011,201,020,000,000",C
185129,,"201,220,092,008",C
185262,,"20,122,011,201,020,000,000",C
185572,,"20,122,011,201,020,000,000",C
185590,,"20,122,011,201,020,000,000",C
185828,,"20,122,011,201,020,000,000",C
186131,Conference,"20,122,011,201,020,000,000",B
186201,,"20,122,011,201,020,000,000",C
186283,,"20,122,011,201,020,000,000",C
186371,,"20,122,011,201,020,000,000",C
186380,Conference,"20,122,011,201,020,000,000",B
186399,,"20,122,011,201,020,000,000",C
186432,,"20,122,011,201,020,000,000",C
186584,Conference,"20,122,011,201,020,000,000",B
186618,,"20,122,011,201,020,000,000",C
186867,,"20,122,011,201,020,000,000",C
186876,,"20,122,011,201,020,000,000",C
187134,,"20,122,011,201,020,000,000",C
187444,,"20,122,011,201,020,000,000",C
187648,,"20,122,011,201,020,000,000",C
187745,,2008,C
187967,,"20,122,011,201,020,000,000",C
187985,Conference,"20,122,011,201,020,000,000",B
188030,Conference,"20,122,011,201,020,000,000",B
188146,,"20,122,011,201,020,000,000",C
188182,,"20,092,008",C
188340,,2011,C
188429,,"20,122,011,201,020,000,000",C
188526,,"20,122,011,201,020,000,000",C
188641,,"20,122,011,201,020,000,000",C
189097,,"20,122,011,201,020,000,000",C
189705,,"20,122,011,201,020,000,000",C
190044,,"20,122,011,201,020,000,000",C
190099,,"20,122,011,201,020,000,000",C
190150,,"20,122,011,201,020,000,000",C
190248,,"20,122,011,201,020,000,000",C
190372,,"20,122,011,201,020,000,000",C
190415,Conference,"20,122,011,201,020,000,000",B
190512,,"20,122,011,201,020,000,000",C
190549,,"20,122,011,201,020,000,000",C
190558,,"20,122,011,201,020,000,000",C
190567,,"20,122,011,201,020,000,000",C
190594,,"20,122,011,201,020,000,000",C
190600,,"20,122,011,201,020,000,000",C
190637,,"20,122,011,201,020,000,000",C
190664,,"20,122,011,201,020,000,000",C
190691,,"20,122,011,201,020,000,000",C
190716,,"20,122,011,201,020,000,000",C
190725,,"20,092,008",C
190761,,"20,122,011,201,020,000,000",C
190983,,"20,122,011,201,020,000,000",C
191205,,"201,020,092,008",C
191241,,"20,122,011,201,020,000,000",C
191515,,"20,122,011,201,020,000,000",C
191649,,"20,122,011,201,020,000,000",C
191676,,"2,012,201,020,092,000",C
191931,,"20,122,011,201,020,000,000",C
191968,,"2,011,201,020,092,000",C
192040,,"20,122,011,201,020,000,000",C
192271,,"20,122,011,201,020,000,000",C
192323,,"20,122,011,201,020,000,000",C
192439,,"20,122,011",C
192448,,"20,122,011,201,020,000,000",C
192703,,"201,020,092,008",C
192749,,"201,020,092,008",C
192785,,"201,220,112,010",C
192819,,"201,020,092,008",C
192864,,"20,122,011,201,020,000,000",C
192925,,"20,122,011,201,020,000,000",C
193292,,"20,122,011,201,020,000,000",C
193353,,"20,122,011,201,020,000,000",C
193399,,"20,122,011,201,020,000,000",C
193645,,"20,122,011,201,020,000,000",C
193654,,"20,122,011,201,020,000,000",C
193900,,"20,122,011,201,020,000,000",C
193973,,"20,122,011,201,020,000,000",C
194091,,"20,122,011,201,020,000,000",C
194107,,"20,092,008",C
194116,,"201,220,112,010",C
194161,,"20,122,011,201,020,000,000",C
194310,,"20,122,011,201,020,000,000",C
