UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4NC200,L4NC200,XL4GR200,L4GR200 
108667,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",288,"R",0,"R",288,"R",20,"R",7,"R",46,"R",16,"R",0,"R",288,"R",20,"R",66,"R",23
108807,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",798,"R",0,"R",798,"R",121,"R",15,"R",265,"R",33,"R",0,"R",798,"R",67,"R",332,"R",42
108852,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",191,"R",0,"R",191,"R",72,"R",38,"R",72,"R",38,"R",0,"R",191,"R",1,"R",73,"R",38
108977,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",19,"R",0,"R",19,"R",13,"R",68,"R",13,"R",68,"R",0,"R",19,"R",0,"R",13,"R",68
109040,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1356,"R",0,"R",1356,"R",1197,"R",88,"R",1197,"R",88,"R",0,"R",1356,"R",0,"R",1197,"R",88
109208,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1558,"R",0,"R",1558,"R",95,"R",6,"R",304,"R",20,"R",0,"R",1558,"R",177,"R",481,"R",31
109332,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",334,"R",0,"R",334,"R",173,"R",52,"R",190,"R",57,"R",0,"R",334,"R",0,"R",190,"R",57
109350,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",816,"R",0,"R",816,"R",100,"R",12,"R",278,"R",34,"R",0,"R",816,"R",77,"R",355,"R",44
109651,"R",35,"R",0,"R",35,"R",20,"R",57,"R",26,"R",74,"R",0,"R",35,"R",1,"R",27,"R",77,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
109721,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",463,"R",6,"R",457,"R",164,"R",36,"R",284,"R",62,"R",0,"R",457,"R",4,"R",288,"R",63
109730,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",117,"R",0,"R",117,"R",18,"R",15,"R",71,"R",61,"R",0,"R",117,"R",0,"R",71,"R",61
