UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,"R",1113,"R",1345,"R",83,"R",1046,"R",0,"R",1046,"R",780,"R",75,"R",8,"R",0,"R",8,"R",4,"R",50,"R",20
100663,"R",1542,"R",2967,"R",52,"R",1503,"R",0,"R",1503,"R",1202,"R",80,"R",20,"R",0,"R",20,"R",14,"R",70,"R",17
100690,"R",4,"R",4,"R",100,"R",5,"R",0,"R",5,"R",4,"R",80,"R",0,"R",0,"R",0,"R",0,"A",,"R",10
100706,"R",600,"R",1395,"R",43,"R",774,"R",0,"R",774,"R",584,"R",75,"R",26,"R",0,"R",26,"R",14,"R",54,"R",16
100724,"R",1090,"R",1386,"R",79,"R",1209,"R",0,"R",1209,"R",768,"R",64,"R",12,"R",0,"R",12,"R",5,"R",42,"R",17
100751,"R",5489,"R",7158,"R",77,"R",5096,"R",34,"R",5062,"R",4294,"R",85,"R",20,"R",0,"R",20,"R",13,"R",65,"R",19
100760,"R",594,"R",890,"R",67,"R",594,"Z",0,"R",594,"R",358,"R",60,"R",92,"Z",0,"R",92,"R",31,"R",34,"R",16
100812,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",18
100830,"R",758,"R",1332,"R",57,"R",729,"R",0,"R",729,"R",396,"R",54,"R",139,"R",0,"R",139,"R",59,"R",42,"R",19
100858,"R",4079,"R",5176,"R",79,"R",3896,"R",0,"R",3896,"R",3407,"R",87,"R",18,"R",0,"R",18,"R",4,"R",22,"R",18
100937,"R",368,"R",397,"R",93,"R",424,"R",0,"R",424,"R",349,"R",82,"R",0,"R",0,"R",0,"R",0,"A",,"R",13
101028,"R",278,"R",692,"R",40,"R",281,"R",0,"R",281,"R",159,"R",57,"R",97,"R",0,"R",97,"R",15,"R",15,"R",20
101073,"R",361,"R",382,"R",95,"R",286,"Z",0,"R",286,"R",130,"R",45,"R",61,"R",0,"R",61,"R",4,"R",7,"R",21
101116,"R",47,"R",322,"R",15,"R",21,"R",0,"R",21,"R",8,"R",38,"R",12,"R",0,"R",12,"R",1,"R",8,"R",14
101143,"R",520,"R",1192,"R",44,"R",553,"R",0,"R",553,"R",330,"R",60,"R",128,"R",0,"R",128,"R",45,"R",35,"R",18
101161,"R",1035,"R",1895,"R",55,"R",1070,"R",0,"R",1070,"R",500,"R",47,"R",187,"R",0,"R",187,"R",123,"R",66,"R",27
101189,"R",215,"R",484,"R",44,"R",344,"R",0,"R",344,"R",228,"R",66,"R",84,"R",0,"R",84,"R",58,"R",69,"R",13
