UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4NC200,L4NC200,XL4GR200,L4GR200 
100654,"R",1038,"R",0,"R",1038,"R",138,"R",13,"R",345,"R",33,"R",0,"R",1038,"R",141,"R",486,"R",47,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100663,"R",1224,"R",0,"R",1224,"R",175,"R",14,"R",461,"R",38,"R",1,"R",1223,"R",53,"R",514,"R",42,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100690,"R",5,"R",0,"R",5,"Z",0,"R",0,"R",1,"R",20,"R",0,"R",5,"R",2,"R",3,"R",60,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100706,"R",592,"R",0,"R",592,"R",83,"R",14,"R",261,"R",44,"Z",0,"R",592,"R",31,"R",292,"R",49,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100724,"R",1263,"R",0,"R",1263,"R",147,"R",12,"R",345,"R",27,"R",0,"R",1263,"R",83,"R",428,"R",34,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100751,"R",2404,"R",20,"R",2384,"R",920,"R",39,"R",1552,"R",65,"R",6,"R",2378,"R",63,"R",1615,"R",68,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100760,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",473,"R",0,"R",473,"R",94,"R",20,"R",95,"R",20,"R",0,"R",473,"R",28,"R",123,"R",26
100830,"R",475,"R",0,"R",475,"R",47,"R",10,"R",128,"R",27,"R",0,"R",475,"R",21,"R",149,"R",31,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100858,"R",3739,"R",0,"R",3739,"R",1284,"R",34,"R",2370,"R",63,"Z",0,"R",3739,"R",35,"R",2405,"R",64,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
100937,"R",387,"R",0,"R",387,"R",225,"R",58,"R",275,"R",71,"R",0,"R",387,"R",8,"R",283,"R",73,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101028,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",270,"R",0,"R",270,"R",7,"R",3,"R",16,"R",6,"Z",0,"R",270,"R",3,"R",19,"R",7
101073,"R",116,"R",0,"R",116,"R",2,"R",2,"R",41,"R",35,"Z",0,"R",116,"R",9,"R",50,"R",43,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101116,"R",1,"R",0,"R",1,"Z",0,"R",0,"Z",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101143,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",338,"R",0,"R",338,"R",49,"R",14,"R",73,"R",22,"Z",0,"R",338,"R",75,"R",148,"R",44
101161,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",758,"R",0,"R",758,"R",106,"R",14,"R",111,"R",15,"R",0,"R",758,"R",1,"R",112,"R",15
101189,"R",204,"R",0,"R",204,"R",20,"R",10,"R",54,"R",26,"R",1,"R",203,"R",2,"R",56,"R",28,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101240,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1088,"R",0,"R",1088,"R",143,"R",13,"R",219,"R",20,"R",0,"R",1088,"R",42,"R",261,"R",24
101286,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",690,"R",0,"R",690,"R",55,"R",8,"R",109,"R",16,"Z",0,"R",690,"R",25,"R",134,"R",19
101295,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",782,"R",0,"R",782,"R",160,"R",20,"R",201,"R",26,"R",0,"R",782,"R",73,"R",274,"R",35
101301,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",382,"R",0,"R",382,"R",45,"R",12,"R",103,"R",27,"R",0,"R",382,"R",1,"R",104,"R",27
101365,"R",29,"R",0,"R",29,"R",17,"R",59,"R",17,"R",59,"R",0,"R",29,"R",0,"R",17,"R",59,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101435,"R",146,"R",0,"R",146,"R",58,"R",40,"R",74,"R",51,"R",0,"R",146,"R",1,"R",75,"R",51,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101453,"R",3,"R",0,"R",3,"R",1,"R",33,"R",1,"R",33,"R",0,"R",3,"R",0,"R",1,"R",33,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101462,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",134,"R",0,"R",134,"R",19,"R",14,"R",27,"R",20,"Z",0,"R",134,"R",4,"R",31,"R",23
101471,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",197,"R",0,"R",197,"R",38,"R",19,"R",60,"R",30,"R",0,"R",197,"R",1,"R",61,"R",31
101480,"R",874,"R",0,"R",874,"R",146,"R",17,"R",331,"R",38,"R",0,"R",874,"R",16,"R",347,"R",40,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101499,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",283,"R",0,"R",283,"R",64,"R",23,"R",77,"R",27,"Z",0,"R",283,"R",5,"R",82,"R",29
101505,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",889,"R",0,"R",889,"R",41,"R",5,"R",79,"R",9,"R",0,"R",889,"R",26,"R",105,"R",12
101514,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",935,"R",1,"R",934,"R",58,"R",6,"R",96,"R",10,"R",0,"R",934,"R",40,"R",136,"R",15
101541,"R",99,"R",0,"R",99,"R",51,"R",52,"R",53,"R",54,"R",0,"R",99,"R",0,"R",53,"R",54,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101569,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",642,"R",0,"R",642,"Z",0,"R",0,"R",102,"R",16,"R",0,"R",642,"R",45,"R",147,"R",23
101587,"R",296,"R",0,"R",296,"R",27,"R",9,"R",57,"R",19,"Z",0,"R",296,"R",50,"R",107,"R",36,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101602,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",303,"R",0,"R",303,"R",67,"R",22,"R",93,"R",31,"R",0,"R",303,"R",7,"R",100,"R",33
101648,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",116,"R",0,"R",116,"R",58,"R",50,"R",67,"R",58,"R",0,"R",116,"R",2,"R",69,"R",59
101675,"R",423,"R",0,"R",423,"R",29,"R",7,"R",46,"R",11,"Z",0,"R",423,"R",12,"R",58,"R",14,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
101693,"R",178,"R",0,"R",178,"R",54,"R",30,"R",70,"R",39,"R",0,"R",178,"R",5,"R",75,"R",42,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
